tokens,count,source
saying,10,"['CIA_08', 'CIA_docs.txt', 'FBI_38', 'FBI_docs.txt', 'NSA_08', 'NSA_13', 'NSA_15', 'NSA_docs.txt']"
business,10,"['CIA_14', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt', 'NSA_08', 'NSA_docs.txt']"
route,10,"['CIA_26', 'CIA_docs.txt', 'FBI_19', 'FBI_docs.txt', 'NSA_13', 'NSA_19', 'NSA_docs.txt']"
further,10,"['DIA_03', 'DIA_docs.txt', 'FBI_08', 'FBI_17', 'FBI_28', 'FBI_36', 'FBI_docs.txt']"
stayed,10,"['CIA_26', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_24', 'FBI_docs.txt']"
St,10,"['CIA_13', 'CIA_docs.txt', 'FBI_03', 'FBI_07', 'FBI_docs.txt', 'NSA_02', 'NSA_docs.txt']"
CA,10,"['CIA_13', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_03', 'FBI_docs.txt']"
27,10,"['CIA_25', 'CIA_docs.txt', 'FBI_04', 'FBI_14', 'FBI_36', 'FBI_docs.txt']"
cell,10,"['NSA_08', 'NSA_11', 'NSA_14', 'NSA_18', 'NSA_20', 'NSA_docs.txt']"
unlisted,10,"['NSA_08', 'NSA_11', 'NSA_14', 'NSA_18', 'NSA_20', 'NSA_docs.txt']"
going,9,"['FBI_39', 'FBI_docs.txt', 'NSA_06', 'NSA_09', 'NSA_16', 'NSA_17', 'NSA_docs.txt']"
continues,8,"['CIA_26', 'CIA_docs.txt', 'FBI_10', 'FBI_18', 'FBI_26', 'FBI_docs.txt']"
Queen,8,"['CIA_28', 'CIA_docs.txt', 'FBI_41', 'FBI_docs.txt']"
prepaid,8,"['NSA_08', 'NSA_11', 'NSA_18', 'NSA_20', 'NSA_docs.txt']"
abandoned,8,"['FBI_01', 'FBI_04', 'FBI_05', 'FBI_23', 'FBI_docs.txt']"
belongs,8,"['FBI_01', 'FBI_10', 'FBI_21', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt']"
wire,8,"['CIA_25', 'CIA_docs.txt', 'FBI_10', 'FBI_14', 'FBI_30', 'FBI_docs.txt']"
arrive,8,"['FBI_01', 'FBI_41', 'FBI_docs.txt', 'NSA_17', 'NSA_docs.txt']"
Riyad,8,"['FBI_02', 'FBI_13', 'FBI_19', 'FBI_docs.txt', 'NSA_19', 'NSA_docs.txt']"
Yasser,8,"['FBI_02', 'FBI_docs.txt']"
rented,8,"['FBI_01', 'FBI_04', 'FBI_13', 'FBI_docs.txt']"
Rental,8,"['FBI_01', 'FBI_04', 'FBI_33', 'FBI_docs.txt']"
discovered,8,"['FBI_01', 'FBI_10', 'FBI_11', 'FBI_13', 'FBI_docs.txt']"
Dutch,8,"['CIA_13', 'CIA_28', 'CIA_39', 'CIA_docs.txt']"
English,8,"['FBI_13', 'FBI_26', 'FBI_docs.txt', 'NSA_04', 'NSA_07', 'NSA_docs.txt']"
Arlington,8,"['FBI_13', 'FBI_19', 'FBI_docs.txt']"
As,8,"['FBI_15', 'FBI_36', 'FBI_docs.txt', 'NSA_13', 'NSA_18', 'NSA_docs.txt']"
garbage,8,"['FBI_12', 'FBI_docs.txt']"
months,8,"['FBI_13', 'FBI_16', 'FBI_23', 'FBI_25', 'FBI_docs.txt']"
65,8,"['CIA_23', 'CIA_docs.txt', 'FBI_21', 'FBI_docs.txt', 'NSA_09', 'NSA_16', 'NSA_docs.txt']"
ID,8,"['NSA_08', 'NSA_11', 'NSA_18', 'NSA_20', 'NSA_docs.txt']"
Khadr,8,"['CIA_02', 'CIA_docs.txt', 'FBI_35', 'FBI_40', 'FBI_docs.txt']"
evidence,8,"['CIA_13', 'CIA_docs.txt', 'FBI_06', 'FBI_12', 'FBI_36', 'FBI_docs.txt']"
26,8,"['CIA_02', 'CIA_05', 'CIA_docs.txt', 'FBI_13', 'FBI_19', 'FBI_docs.txt']"
examination,8,"['FBI_12', 'FBI_23', 'FBI_26', 'FBI_33', 'FBI_docs.txt']"
me,8,"['NSA_05', 'NSA_14', 'NSA_22', 'NSA_docs.txt']"
meet,8,"['NSA_05', 'NSA_10', 'NSA_22', 'NSA_docs.txt']"
your,8,"['CIA_37', 'CIA_docs.txt', 'NSA_18', 'NSA_19', 'NSA_21', 'NSA_docs.txt']"
Satam,8,"['CIA_16', 'CIA_docs.txt', 'FBI_31', 'FBI_34', 'FBI_36', 'FBI_docs.txt']"
transfer,8,"['CIA_04', 'CIA_25', 'CIA_docs.txt', 'FBI_30', 'FBI_docs.txt']"
need,8,"['CIA_37', 'CIA_docs.txt', 'FBI_33', 'FBI_docs.txt', 'NSA_04', 'NSA_13', 'NSA_docs.txt']"
Ronald,8,"['CIA_16', 'CIA_docs.txt', 'FBI_31', 'FBI_34', 'FBI_36', 'FBI_docs.txt']"
arrived,8,"['CIA_16', 'CIA_docs.txt', 'FBI_36', 'FBI_docs.txt', 'NSA_19', 'NSA_20', 'NSA_docs.txt']"
appears,8,"['CIA_06', 'CIA_14', 'CIA_31', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt']"
into,8,"['FBI_08', 'FBI_19', 'FBI_38', 'FBI_docs.txt']"
occupants,8,"['CIA_11', 'CIA_15', 'CIA_docs.txt', 'FBI_06', 'FBI_docs.txt']"
behind,8,"['CIA_11', 'CIA_docs.txt', 'FBI_10', 'FBI_22', 'FBI_docs.txt']"
few,8,"['CIA_11', 'CIA_docs.txt', 'FBI_23', 'FBI_docs.txt', 'NSA_08', 'NSA_19', 'NSA_docs.txt']"
owner,8,"['FBI_23', 'FBI_33', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
interest,8,"['CIA_11', 'CIA_12', 'CIA_13', 'CIA_docs.txt', 'FBI_29', 'FBI_docs.txt']"
Hasham,8,"['CIA_06', 'CIA_08', 'CIA_24', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt']"
ever,8,"['FBI_06', 'FBI_36', 'FBI_docs.txt']"
occupied,8,"['FBI_06', 'FBI_22', 'FBI_23', 'FBI_docs.txt']"
10,8,"['CIA_11', 'CIA_docs.txt', 'FBI_08', 'FBI_10', 'FBI_22', 'FBI_docs.txt']"
results,8,"['CIA_11', 'CIA_docs.txt', 'FBI_26', 'FBI_34', 'FBI_36', 'FBI_docs.txt']"
Plum,8,"['FBI_39', 'FBI_docs.txt']"
Cubans,8,"['CIA_04', 'CIA_21', 'CIA_docs.txt']"
may,8,"['CIA_12', 'CIA_32', 'CIA_docs.txt', 'NSA_07', 'NSA_13', 'NSA_docs.txt']"
warrant,8,"['FBI_06', 'FBI_10', 'FBI_12', 'FBI_36', 'FBI_docs.txt']"
narcotics,8,"['CIA_03', 'CIA_14', 'CIA_36', 'CIA_docs.txt', 'FBI_11', 'FBI_docs.txt']"
first-class,8,"['FBI_40', 'FBI_41', 'FBI_docs.txt']"
accommodations,8,"['FBI_40', 'FBI_41', 'FBI_docs.txt']"
Chetumal,8,"['FBI_19', 'FBI_37', 'FBI_docs.txt', 'NSA_13', 'NSA_docs.txt']"
Apple,8,"['CIA_10', 'CIA_43', 'CIA_docs.txt', 'FBI_02', 'FBI_docs.txt', 'NSA_06', 'NSA_docs.txt']"
suspected,8,"['CIA_11', 'CIA_16', 'CIA_30', 'CIA_docs.txt', 'FBI_21', 'FBI_docs.txt']"
Farmers,8,"['FBI_10', 'FBI_38', 'FBI_docs.txt']"
citizenship,8,"['CIA_10', 'CIA_23', 'CIA_docs.txt', 'FBI_20', 'FBI_21', 'FBI_docs.txt']"
special,8,"['CIA_06', 'CIA_13', 'CIA_docs.txt', 'FBI_29', 'FBI_docs.txt']"
Records,8,"['CIA_10', 'CIA_14', 'CIA_23', 'CIA_docs.txt', 'FBI_03', 'FBI_docs.txt']"
meeting,8,"['FBI_09', 'FBI_11', 'FBI_docs.txt', 'NSA_06', 'NSA_docs.txt']"
best,8,"['FBI_26', 'FBI_docs.txt', 'NSA_02', 'NSA_15', 'NSA_docs.txt']"
refused,8,"['CIA_10', 'CIA_12', 'CIA_docs.txt', 'FBI_06', 'FBI_26', 'FBI_docs.txt']"
Farooq,8,"['CIA_06', 'CIA_08', 'CIA_docs.txt']"
contained,8,"['CIA_37', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
officers,8,"['CIA_37', 'CIA_docs.txt', 'FBI_34', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
actions,8,"['CIA_06', 'CIA_12', 'CIA_docs.txt', 'FBI_25', 'FBI_docs.txt']"
recorded,8,"['CIA_06', 'CIA_18', 'CIA_docs.txt', 'FBI_25', 'FBI_docs.txt']"
scientist,8,"['CIA_17', 'CIA_41', 'CIA_docs.txt', 'FBI_18', 'FBI_20', 'FBI_docs.txt']"
Shibh,8,"['CIA_37', 'CIA_docs.txt', 'FBI_15', 'FBI_17', 'FBI_docs.txt']"
noted,8,"['CIA_37', 'CIA_docs.txt', 'FBI_14', 'FBI_28', 'FBI_39', 'FBI_docs.txt']"
messages,8,"['CIA_37', 'CIA_docs.txt', 'FBI_10', 'FBI_docs.txt']"
events,8,"['CIA_37', 'CIA_docs.txt', 'FBI_09', 'FBI_11', 'FBI_docs.txt']"
former,8,"['CIA_15', 'CIA_36', 'CIA_docs.txt', 'DIA_01', 'DIA_docs.txt']"
HIjazi,8,"['FBI_35', 'FBI_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
scholarship,8,"['FBI_35', 'FBI_docs.txt']"
days,8,"['CIA_37', 'CIA_docs.txt', 'FBI_23', 'FBI_docs.txt', 'NSA_08', 'NSA_19', 'NSA_docs.txt']"
traffic,8,"['CIA_14', 'CIA_30', 'CIA_docs.txt', 'FBI_02', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt']"
quite,8,"['CIA_14', 'CIA_docs.txt', 'FBI_11', 'FBI_39', 'FBI_docs.txt', 'NSA_08', 'NSA_docs.txt']"
fund,8,"['FBI_35', 'FBI_docs.txt']"
trained,8,"['CIA_12', 'CIA_31', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_21', 'FBI_docs.txt']"
embassy,8,"['CIA_40', 'CIA_docs.txt']"
States,8,"['FBI_04', 'FBI_10', 'FBI_docs.txt']"
services,8,"['CIA_03', 'CIA_28', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt']"
government,8,"['CIA_17', 'CIA_docs.txt', 'FBI_09', 'FBI_39', 'FBI_docs.txt']"
degree,8,"['CIA_06', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_11', 'FBI_docs.txt']"
contact,8,"['CIA_17', 'CIA_docs.txt', 'FBI_01', 'FBI_32', 'FBI_34', 'FBI_docs.txt']"
involved,8,"['CIA_36', 'CIA_docs.txt', 'FBI_31', 'FBI_36', 'FBI_docs.txt']"
1998,8,"['CIA_10', 'CIA_18', 'CIA_docs.txt', 'FBI_21', 'FBI_docs.txt']"
possibly,8,"['CIA_10', 'CIA_37', 'CIA_docs.txt', 'FBI_06', 'FBI_docs.txt', 'NSA_22', 'NSA_docs.txt']"
mosque,8,"['CIA_10', 'CIA_docs.txt', 'FBI_21', 'FBI_34', 'FBI_36', 'FBI_docs.txt']"
Ralph,8,"['FBI_22', 'FBI_31', 'FBI_docs.txt']"
Cooper,8,"['FBI_22', 'FBI_docs.txt']"
Othman,8,"['CIA_10', 'CIA_docs.txt', 'FBI_02', 'FBI_docs.txt']"
value,8,"['CIA_09', 'CIA_docs.txt', 'FBI_05', 'FBI_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
Guane,8,"['FBI_19', 'FBI_37', 'FBI_38', 'FBI_docs.txt']"
stated,8,"['CIA_04', 'CIA_11', 'CIA_docs.txt', 'FBI_10', 'FBI_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
parking,8,"['CIA_42', 'CIA_docs.txt', 'FBI_04', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
Acuna,8,"['FBI_38', 'FBI_docs.txt', 'NSA_17', 'NSA_21', 'NSA_docs.txt']"
containing,8,"['CIA_13', 'CIA_34', 'CIA_docs.txt', 'FBI_02', 'FBI_10', 'FBI_docs.txt']"
unit,8,"['FBI_33', 'FBI_docs.txt']"
14,8,"['FBI_30', 'FBI_35', 'FBI_41', 'FBI_docs.txt']"
Ciudad,8,"['FBI_38', 'FBI_docs.txt', 'NSA_13', 'NSA_21', 'NSA_docs.txt']"
O'Hare,8,"['FBI_04', 'FBI_06', 'FBI_docs.txt']"
deposits,8,"['FBI_03', 'FBI_05', 'FBI_27', 'FBI_docs.txt']"
along,8,"['CIA_12', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_06', 'FBI_docs.txt']"
well,8,"['CIA_12', 'CIA_14', 'CIA_docs.txt', 'FBI_15', 'FBI_docs.txt', 'NSA_22', 'NSA_docs.txt']"
offices,8,"['CIA_12', 'CIA_docs.txt', 'FBI_24', 'FBI_35', 'FBI_docs.txt', 'NSA_05', 'NSA_docs.txt']"
donation,8,"['FBI_35', 'FBI_docs.txt']"
runs,8,"['CIA_12', 'CIA_14', 'CIA_38', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt']"
variety,8,"['CIA_12', 'CIA_14', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_29', 'FBI_docs.txt']"
Wali,8,"['FBI_10', 'FBI_14', 'FBI_35', 'FBI_41', 'FBI_docs.txt']"
presence,8,"['CIA_08', 'CIA_docs.txt', 'FBI_05', 'FBI_06', 'FBI_10', 'FBI_docs.txt']"
There,8,"['FBI_11', 'FBI_17', 'FBI_18', 'FBI_35', 'FBI_docs.txt']"
e-mail,8,"['FBI_10', 'FBI_14', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt']"
Ramundo,8,"['CIA_09', 'CIA_14', 'CIA_25', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt']"
marked,8,"['CIA_09', 'CIA_34', 'CIA_39', 'CIA_41', 'CIA_docs.txt']"
customs,8,"['CIA_09', 'CIA_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
such,8,"['CIA_09', 'CIA_docs.txt', 'FBI_28', 'FBI_41', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
photographed,8,"['CIA_03', 'CIA_24', 'CIA_30', 'CIA_docs.txt', 'FBI_15', 'FBI_docs.txt']"
1992,8,"['CIA_03', 'CIA_16', 'CIA_30', 'CIA_31', 'CIA_docs.txt']"
NYC,8,"['FBI_41', 'FBI_docs.txt']"
tours,8,"['FBI_40', 'FBI_docs.txt']"
together,8,"['CIA_21', 'CIA_30', 'CIA_docs.txt', 'FBI_03', 'FBI_23', 'FBI_docs.txt']"
concerns,8,"['FBI_01', 'FBI_26', 'FBI_27', 'FBI_29', 'FBI_docs.txt']"
farm,8,"['CIA_34', 'CIA_41', 'CIA_docs.txt']"
student,8,"['CIA_33', 'CIA_docs.txt', 'FBI_10', 'FBI_20', 'FBI_26', 'FBI_docs.txt']"
U.S.,8,"['FBI_19', 'FBI_20', 'FBI_29', 'FBI_40', 'FBI_docs.txt']"
expert,8,"['CIA_07', 'CIA_14', 'CIA_31', 'CIA_docs.txt', 'FBI_07', 'FBI_docs.txt']"
Riyadh,8,"['CIA_18', 'CIA_40', 'CIA_docs.txt', 'FBI_20', 'FBI_docs.txt']"
polished,8,"['CIA_09', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
wanted,8,"['CIA_07', 'CIA_docs.txt', 'FBI_08', 'FBI_19', 'FBI_docs.txt', 'NSA_14', 'NSA_docs.txt']"
attempt,8,"['CIA_07', 'CIA_37', 'CIA_docs.txt', 'FBI_13', 'FBI_19', 'FBI_docs.txt']"
among,8,"['CIA_07', 'CIA_30', 'CIA_37', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt']"
payment,8,"['FBI_14', 'FBI_docs.txt', 'NSA_11', 'NSA_14', 'NSA_docs.txt']"
interview,8,"['FBI_14', 'FBI_26', 'FBI_34', 'FBI_docs.txt']"
second,8,"['CIA_08', 'CIA_docs.txt', 'FBI_40', 'FBI_41', 'FBI_docs.txt']"
identify,8,"['CIA_08', 'CIA_24', 'CIA_docs.txt', 'FBI_25', 'FBI_35', 'FBI_docs.txt']"
became,8,"['CIA_12', 'CIA_31', 'CIA_docs.txt', 'FBI_21', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
throughout,8,"['CIA_01', 'CIA_03', 'CIA_04', 'CIA_14', 'CIA_docs.txt']"
Mirada,8,"['NSA_13', 'NSA_15', 'NSA_17', 'NSA_19', 'NSA_docs.txt']"
interrogation,8,"['CIA_07', 'CIA_12', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_28', 'FBI_docs.txt']"
motel,8,"['USCBP_01', 'USCBP_docs.txt']"
officer,8,"['CIA_01', 'CIA_39', 'CIA_40', 'CIA_docs.txt', 'FBI_12', 'FBI_docs.txt']"
Kolokov,8,"['CIA_01', 'CIA_docs.txt']"
Andes,8,"['NSA_13', 'NSA_17', 'NSA_19', 'NSA_21', 'NSA_docs.txt']"
555,8,"['NSA_13', 'NSA_15', 'NSA_17', 'NSA_19', 'NSA_docs.txt']"
La,8,"['NSA_13', 'NSA_15', 'NSA_17', 'NSA_19', 'NSA_docs.txt']"
Murad,8,"['CIA_07', 'CIA_docs.txt', 'FBI_06', 'FBI_docs.txt']"
Beandali,8,"['CIA_02', 'CIA_docs.txt', 'FBI_22', 'FBI_31', 'FBI_docs.txt']"
H.,8,"['CIA_01', 'CIA_docs.txt', 'FBI_08', 'FBI_11', 'FBI_docs.txt']"
Argentina,8,"['CIA_23', 'CIA_30', 'CIA_docs.txt', 'FBI_19', 'FBI_docs.txt']"
shipment,7,"['NSA_07', 'NSA_09', 'NSA_11', 'NSA_docs.txt']"
Soviet,6,"['CIA_01', 'CIA_36', 'CIA_docs.txt']"
institute,6,"['CIA_01', 'CIA_05', 'CIA_31', 'CIA_docs.txt']"
background,6,"['CIA_01', 'CIA_31', 'CIA_docs.txt', 'FBI_14', 'FBI_docs.txt']"
formerly,6,"['CIA_01', 'CIA_05', 'CIA_docs.txt', 'FBI_02', 'FBI_docs.txt']"
stuff,6,"['NSA_14', 'NSA_16', 'NSA_22', 'NSA_docs.txt']"
hear,6,"['NSA_12', 'NSA_13', 'NSA_18', 'NSA_docs.txt']"
Sanders,6,"['USCBP_01', 'USCBP_docs.txt']"
taxi,6,"['CIA_23', 'CIA_docs.txt']"
arrest,6,"['CIA_01', 'CIA_docs.txt', 'FBI_08', 'FBI_docs.txt']"
charged,6,"['CIA_01', 'CIA_docs.txt', 'FBI_05', 'FBI_10', 'FBI_docs.txt']"
request,6,"['CIA_28', 'CIA_33', 'CIA_docs.txt', 'FBI_11', 'FBI_docs.txt']"
attempted,6,"['CIA_01', 'CIA_12', 'CIA_docs.txt', 'FBI_08', 'FBI_docs.txt']"
wounded,6,"['CIA_02', 'CIA_08', 'CIA_docs.txt']"
Raeed,6,"['CIA_02', 'CIA_docs.txt', 'FBI_22', 'FBI_31', 'FBI_docs.txt']"
Toronto,6,"['CIA_02', 'CIA_docs.txt', 'FBI_07', 'FBI_docs.txt']"
usual,6,"['NSA_07', 'NSA_08', 'NSA_10', 'NSA_docs.txt']"
Cargo,6,"['CIA_27', 'CIA_docs.txt']"
Caracas,6,"['CIA_27', 'CIA_28', 'CIA_docs.txt']"
Venezuela,6,"['CIA_27', 'CIA_28', 'CIA_docs.txt']"
631,6,"['CIA_26', 'CIA_37', 'CIA_docs.txt', 'NSA_07', 'NSA_docs.txt']"
Nishtar,6,"['CIA_26', 'CIA_37', 'CIA_docs.txt', 'NSA_07', 'NSA_docs.txt']"
While,6,"['CIA_24', 'CIA_26', 'CIA_docs.txt', 'FBI_12', 'FBI_docs.txt']"
Beach,6,"['FBI_02', 'FBI_17', 'FBI_35', 'FBI_docs.txt']"
Ferry,6,"['FBI_02', 'FBI_07', 'FBI_docs.txt', 'NSA_10', 'NSA_docs.txt']"
Also,6,"['FBI_02', 'FBI_10', 'FBI_12', 'FBI_docs.txt']"
455,6,"['FBI_02', 'FBI_17', 'FBI_35', 'FBI_docs.txt']"
11th,6,"['FBI_02', 'FBI_17', 'FBI_35', 'FBI_docs.txt']"
Semtex,6,"['FBI_02', 'FBI_06', 'FBI_33', 'FBI_docs.txt']"
jihad,6,"['FBI_02', 'FBI_13', 'FBI_15', 'FBI_docs.txt']"
kilos,6,"['FBI_02', 'FBI_06', 'FBI_docs.txt']"
Angeles,6,"['CIA_13', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt']"
Sungkar,6,"['CIA_13', 'CIA_docs.txt', 'FBI_03', 'FBI_docs.txt']"
Buffalo,6,"['FBI_01', 'FBI_07', 'FBI_docs.txt', 'NSA_10', 'NSA_docs.txt']"
NY,6,"['FBI_01', 'FBI_07', 'FBI_35', 'FBI_docs.txt']"
traveling,6,"['FBI_01', 'FBI_07', 'FBI_22', 'FBI_docs.txt']"
e-bombs,6,"['DIA_03', 'DIA_docs.txt', 'FBI_36', 'FBI_docs.txt']"
system,6,"['DIA_03', 'DIA_docs.txt', 'FBI_20', 'FBI_docs.txt']"
gas,6,"['DIA_03', 'DIA_docs.txt', 'FBI_29', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
laptop,6,"['DIA_03', 'DIA_docs.txt', 'FBI_10', 'FBI_docs.txt']"
stones,6,"['CIA_14', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt']"
His,6,"['CIA_14', 'CIA_23', 'CIA_docs.txt', 'FBI_31', 'FBI_docs.txt']"
travels,6,"['CIA_14', 'CIA_31', 'CIA_docs.txt', 'FBI_21', 'FBI_docs.txt']"
Culver,6,"['CIA_13', 'CIA_docs.txt', 'FBI_03', 'FBI_docs.txt']"
charge,6,"['DIA_02', 'DIA_docs.txt', 'FBI_23', 'FBI_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
Abdullah,6,"['DIA_02', 'DIA_docs.txt']"
captured,6,"['DIA_02', 'DIA_03', 'DIA_docs.txt']"
gone,6,"['DIA_02', 'DIA_docs.txt', 'NSA_22', 'NSA_docs.txt']"
himself,6,"['DIA_02', 'DIA_docs.txt', 'FBI_22', 'FBI_28', 'FBI_docs.txt']"
cruise,6,"['CIA_43', 'CIA_docs.txt', 'FBI_41', 'FBI_docs.txt']"
Piedras,6,"['FBI_37', 'FBI_docs.txt', 'NSA_17', 'NSA_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
Negras,6,"['FBI_37', 'FBI_docs.txt', 'NSA_17', 'NSA_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
strain,6,"['FBI_38', 'FBI_39', 'FBI_docs.txt']"
Victoria,6,"['FBI_37', 'FBI_38', 'FBI_docs.txt']"
sell,6,"['CIA_04', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt', 'NSA_07', 'NSA_docs.txt']"
124,6,"['FBI_33', 'FBI_docs.txt']"
storage,6,"['FBI_33', 'FBI_39', 'FBI_docs.txt']"
Fund,6,"['FBI_30', 'FBI_35', 'FBI_docs.txt']"
vulnerabilities,6,"['FBI_29', 'FBI_36', 'FBI_docs.txt']"
tanzanite,6,"['FBI_28', 'FBI_docs.txt', 'NSA_07', 'NSA_docs.txt']"
possible,6,"['FBI_05', 'FBI_09', 'FBI_10', 'FBI_docs.txt']"
2211,6,"['FBI_04', 'FBI_06', 'FBI_docs.txt', 'NSA_02', 'NSA_docs.txt']"
Cermak,6,"['FBI_04', 'FBI_06', 'FBI_docs.txt', 'NSA_02', 'NSA_docs.txt']"
regular,6,"['CIA_12', 'CIA_38', 'CIA_docs.txt', 'FBI_24', 'FBI_docs.txt']"
attention,6,"['CIA_12', 'CIA_docs.txt', 'FBI_10', 'FBI_11', 'FBI_docs.txt']"
use,6,"['FBI_36', 'FBI_docs.txt', 'NSA_22', 'NSA_docs.txt']"
Said,6,"['FBI_35', 'FBI_40', 'FBI_docs.txt', 'NSA_19', 'NSA_docs.txt']"
Marrakech,6,"['FBI_34', 'FBI_36', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt']"
provide,6,"['CIA_15', 'CIA_docs.txt', 'NSA_13', 'NSA_docs.txt']"
happened,6,"['CIA_15', 'CIA_docs.txt', 'FBI_35', 'FBI_docs.txt', 'NSA_19', 'NSA_docs.txt']"
does,6,"['CIA_14', 'CIA_docs.txt', 'FBI_08', 'FBI_28', 'FBI_docs.txt']"
Africa,6,"['CIA_14', 'CIA_34', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt']"
occasions,6,"['CIA_14', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_35', 'FBI_docs.txt']"
boys,6,"['CIA_40', 'CIA_docs.txt', 'NSA_18', 'NSA_21', 'NSA_docs.txt']"
ambassador,6,"['CIA_40', 'CIA_docs.txt']"
should,6,"['CIA_39', 'CIA_docs.txt', 'FBI_35', 'FBI_docs.txt']"
aboard,6,"['CIA_39', 'CIA_docs.txt', 'FBI_40', 'FBI_docs.txt']"
failed,6,"['CIA_12', 'CIA_docs.txt', 'FBI_23', 'FBI_docs.txt']"
Carolina,6,"['FBI_05', 'FBI_23', 'FBI_docs.txt']"
Mustafa,6,"['FBI_05', 'FBI_23', 'FBI_docs.txt']"
supply,6,"['FBI_05', 'FBI_34', 'FBI_39', 'FBI_docs.txt']"
Western,6,"['FBI_05', 'FBI_14', 'FBI_docs.txt']"
total,6,"['FBI_05', 'FBI_13', 'FBI_39', 'FBI_docs.txt']"
bus,6,"['FBI_05', 'FBI_19', 'FBI_docs.txt', 'NSA_05', 'NSA_docs.txt']"
cash,6,"['FBI_04', 'FBI_14', 'FBI_27', 'FBI_docs.txt']"
aliases,6,"['CIA_06', 'CIA_docs.txt']"
Yasir,6,"['CIA_06', 'CIA_11', 'CIA_22', 'CIA_docs.txt']"
Salman,6,"['CIA_06', 'CIA_11', 'CIA_22', 'CIA_docs.txt']"
staff,6,"['CIA_06', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt']"
director,6,"['CIA_05', 'CIA_docs.txt', 'FBI_35', 'FBI_docs.txt']"
security,6,"['CIA_05', 'CIA_docs.txt', 'FBI_39', 'FBI_docs.txt']"
sorts,6,"['CIA_04', 'CIA_36', 'CIA_docs.txt', 'FBI_13', 'FBI_docs.txt']"
possession,6,"['FBI_08', 'FBI_26', 'FBI_docs.txt']"
Virginia,6,"['FBI_08', 'FBI_docs.txt']"
entered,6,"['FBI_08', 'FBI_12', 'FBI_13', 'FBI_docs.txt']"
apprehension,6,"['FBI_07', 'FBI_19', 'FBI_25', 'FBI_docs.txt']"
Finally,6,"['CIA_11', 'CIA_36', 'CIA_docs.txt', 'FBI_35', 'FBI_docs.txt']"
bombings,6,"['CIA_12', 'CIA_docs.txt']"
envelope,6,"['CIA_11', 'CIA_docs.txt', 'FBI_08', 'FBI_13', 'FBI_docs.txt']"
project,6,"['CIA_11', 'CIA_docs.txt', 'FBI_36', 'FBI_docs.txt']"
Jihad,6,"['FBI_06', 'FBI_10', 'FBI_docs.txt']"
field,6,"['FBI_06', 'FBI_23', 'FBI_38', 'FBI_docs.txt']"
closed,6,"['FBI_05', 'FBI_23', 'FBI_38', 'FBI_docs.txt']"
through,6,"['FBI_05', 'FBI_docs.txt', 'NSA_17', 'NSA_docs.txt']"
signed,6,"['CIA_12', 'CIA_docs.txt', 'FBI_37', 'FBI_38', 'FBI_docs.txt']"
individuals,6,"['CIA_12', 'CIA_docs.txt', 'FBI_19', 'FBI_31', 'FBI_docs.txt']"
